custom SHA256 test,2,37483049,3748304.75000,225876650,3764611.00000
custom SHA256 test,4,38136590,3813659.25000,226404509,3773408.50000
custom SHA256 test,8,38045009,3804500.75000,227730684,3795511.50000
custom SHA256 test,16,37986726,3798672.75000,227645026,3794083.75000
custom SHA256 test,32,37851989,3785198.75000,229915126,3831918.75000
custom SHA256 test,64,24318128,2431812.75000,146772613,2446210.25000
custom SHA256 test,128,18731642,1873164.25000,112845647,1880760.75000
custom SHA256 test,256,12550626,1255062.62500,75340314,1255671.87500
custom SHA256 test,512,7548043,754804.31250,45329427,755490.43750
custom SHA256 test,1024,4203221,420322.09375,25219523,420325.40625
custom SHA256 test,2048,2245696,224569.59375,13453422,224223.70312
custom SHA256 test,4096,1146616,114661.60156,6860856,114347.60156
custom SHA256 test,8192,590635,59063.50000,3525823,58763.71484
custom SHA256 test,16384,293726,29372.59961,1768037,29467.28320
custom SHA256 test,32768,147694,14769.40039,886120,14768.66699
custom SHA256 test,65536,74778,7477.79980,445893,7431.54980
custom SHA256 test,131072,37237,3723.69995,222744,3712.39990
custom SHA256 test,262144,18362,1836.19995,110451,1840.84998
custom SHA256 test,524288,9328,932.79999,55793,929.88336
custom SHA256 test,1048576,4660,466.00000,27939,465.64999
custom SHA256 test,2097152,2321,232.10001,13992,233.20000
custom SHA256 test,4194304,1164,116.40000,6984,116.40000
custom SHA256 test,8388608,581,58.10000,3502,58.36666
custom SHA256 test,16777216,290,29.00000,1748,29.13333
