DNA matching,102,3972971,397297.09375,23916128,398602.12500
DNA matching,204,3487635,348763.50000,21009852,350164.18750
DNA matching,408,2770317,277031.68750,16610898,276848.31250
DNA matching,816,2020179,202017.90625,12183886,203064.76562
DNA matching,1632,1320462,132046.20312,7945073,132417.89062
DNA matching,3264,771311,77131.10156,4647570,77459.50000
DNA matching,6528,423671,42367.10156,2537539,42292.31641
DNA matching,13056,223384,22338.40039,1338669,22311.15039
DNA matching,26112,114622,11462.20020,687246,11454.09961
DNA matching,52224,58049,5804.89990,347647,5794.11670
DNA matching,104448,29045,2904.50000,175595,2926.58325
