DNA matching,102,4800965,480096.50000,28699598,478326.62500
DNA matching,204,4146826,414682.59375,24771495,412858.28125
DNA matching,408,3211505,321150.50000,19350471,322507.87500
DNA matching,816,2273930,227393.00000,13661892,227698.20312
DNA matching,1632,1434030,143403.00000,8554685,142578.07812
DNA matching,3264,817580,81758.00000,4927193,82119.88281
DNA matching,6528,440785,44078.50000,2661098,44351.63281
DNA matching,13056,232800,23280.00000,1395458,23257.63281
DNA matching,26112,119110,11911.00000,712491,11874.84961
DNA matching,52224,59873,5987.29980,359568,5992.79980
DNA matching,104448,30269,3026.89990,181130,3018.83325
