DNA matching,128,5913654,591365.37500,35519267,591987.81250,60
DNA matching,256,4908340,490834.00000,29680775,494679.59375,60
DNA matching,512,3769536,376953.59375,22730028,378833.81250,60
DNA matching,1024,2571896,257189.59375,15422263,257037.71875,60
DNA matching,2048,1566499,156649.90625,9397501,156625.01562,60
DNA matching,4096,877510,87751.00000,5273234,87887.23438,60
DNA matching,8192,467631,46763.10156,2804970,46749.50000,60
DNA matching,16384,241310,24131.00000,1451198,24186.63281,60
DNA matching,32768,122973,12297.29980,738574,12309.56641,60
DNA matching,65536,61975,6197.50000,372606,6210.10010,60
DNA matching,131072,28326,2832.60010,169902,2831.69995,60
