DNA matching,102,563255,56325.50000,3431465,57191.08203
DNA matching,204,298854,29885.40039,1792072,29867.86719
DNA matching,408,152817,15281.70020,913248,15220.79980
DNA matching,816,75602,7560.20020,454905,7581.75000
DNA matching,1632,37780,3778.00000,232851,3880.85010
DNA matching,3264,19729,1972.90002,117860,1964.33337
DNA matching,6528,9792,979.20001,59013,983.54999
DNA matching,13056,4887,488.70001,29359,489.31668
DNA matching,26112,2424,242.39999,14714,245.23334
DNA matching,52224,1220,122.00000,7397,123.28333
DNA matching,104448,619,61.90000,3689,61.48333
