custom SHA256 test,2,28327018,2832701.75000,169356969,2822616.25000
custom SHA256 test,4,28275883,2827588.50000,169565439,2826090.75000
custom SHA256 test,8,28262022,2826202.25000,170037131,2833952.25000
custom SHA256 test,16,28281936,2828193.50000,170084730,2834745.50000
custom SHA256 test,32,28342525,2834252.50000,169379653,2822994.25000
custom SHA256 test,64,21651869,2165186.75000,129637866,2160631.00000
custom SHA256 test,128,17885328,1788532.75000,107181609,1786360.12500
custom SHA256 test,256,12827253,1282725.25000,76852202,1280870.00000
custom SHA256 test,512,8308347,830834.68750,49890751,831512.56250
custom SHA256 test,1024,4866882,486688.18750,29171333,486188.87500
custom SHA256 test,2048,2656522,265652.18750,15916051,265267.53125
custom SHA256 test,4096,1387010,138701.00000,8315515,138591.92188
custom SHA256 test,8192,704499,70449.89844,4219576,70326.26562
custom SHA256 test,16384,359430,35943.00000,2161648,36027.46484
custom SHA256 test,32768,179294,17929.40039,1077574,17959.56641
custom SHA256 test,65536,90149,9014.90039,539742,8995.70020
custom SHA256 test,131072,45242,4524.20020,272189,4536.48340
custom SHA256 test,262144,22558,2255.80005,135215,2253.58325
custom SHA256 test,524288,11271,1127.09998,67684,1128.06665
custom SHA256 test,1048576,5657,565.70001,33943,565.71667
custom SHA256 test,2097152,2817,281.70001,16919,281.98334
custom SHA256 test,4194304,1417,141.70000,8499,141.64999
custom SHA256 test,8388608,704,70.40000,4246,70.76667
custom SHA256 test,16777216,351,35.10000,2108,35.13334
