custom SHA256 test,2,45156522,4515652.00000,271050608,4517510.50000
custom SHA256 test,4,45704324,4570432.50000,273548050,4559134.50000
custom SHA256 test,8,45532186,4553218.50000,273855036,4564250.50000
custom SHA256 test,16,45500637,4550063.50000,273753049,4562551.00000
custom SHA256 test,32,45606201,4560620.00000,273768370,4562806.50000
custom SHA256 test,64,29569057,2956905.50000,177127817,2952130.50000
custom SHA256 test,128,22737524,2273752.50000,136493486,2274891.50000
custom SHA256 test,256,15362099,1536209.87500,91974704,1532911.75000
custom SHA256 test,512,9171471,917147.12500,55405973,923432.87500
custom SHA256 test,1024,5138910,513891.00000,30842868,514047.81250
custom SHA256 test,2048,2756002,275600.18750,16528623,275477.06250
custom SHA256 test,4096,1407126,140712.59375,8429407,140490.10938
custom SHA256 test,8192,720593,72059.29688,4317859,71964.32031
custom SHA256 test,16384,360107,36010.69922,2159383,35989.71484
custom SHA256 test,32768,181130,18113.00000,1085546,18092.43359
custom SHA256 test,65536,90649,9064.90039,542975,9049.58301
custom SHA256 test,131072,45414,4541.39990,271789,4529.81689
custom SHA256 test,262144,22719,2271.89990,136271,2271.18335
custom SHA256 test,524288,11356,1135.59998,68299,1138.31665
custom SHA256 test,1048576,5725,572.50000,34310,571.83331
custom SHA256 test,2097152,2824,282.39999,17010,283.50000
custom SHA256 test,4194304,1419,141.89999,8493,141.55000
custom SHA256 test,8388608,714,71.40000,4279,71.31667
custom SHA256 test,16777216,357,35.70000,2144,35.73333
