custom SHA256 test,2,32154322,3215432.25000,193089183,3218153.00000
custom SHA256 test,4,32176533,3217653.25000,192693853,3211564.25000
custom SHA256 test,8,32043950,3204395.00000,192314791,3205246.50000
custom SHA256 test,16,32086688,3208668.75000,192589460,3209824.25000
custom SHA256 test,32,32264925,3226492.50000,193995717,3233261.75000
custom SHA256 test,64,21978100,2197810.00000,132104703,2201745.00000
custom SHA256 test,128,17305690,1730569.00000,104313827,1738563.75000
custom SHA256 test,256,11943327,1194332.75000,71475864,1191264.37500
custom SHA256 test,512,7263597,726359.68750,43555100,725918.31250
custom SHA256 test,1024,4135934,413593.40625,24839782,413996.37500
custom SHA256 test,2048,2208674,220867.40625,13254575,220909.57812
custom SHA256 test,4096,1148958,114895.79688,6863309,114388.48438
custom SHA256 test,8192,586169,58616.89844,3517110,58618.50000
custom SHA256 test,16384,295843,29584.30078,1770231,29503.84961
custom SHA256 test,32768,148069,14806.90039,886990,14783.16699
custom SHA256 test,65536,74242,7424.20020,444578,7409.63330
custom SHA256 test,131072,37350,3735.00000,223282,3721.36670
custom SHA256 test,262144,18456,1845.59998,111522,1858.69995
custom SHA256 test,524288,9263,926.29999,55612,926.86664
custom SHA256 test,1048576,4653,465.29999,27938,465.63333
custom SHA256 test,2097152,2316,231.60001,13851,230.85001
custom SHA256 test,4194304,1155,115.50000,6938,115.63333
custom SHA256 test,8388608,582,58.20000,3490,58.16667
