custom SHA256 test,2,23198783,2319878.50000,139506575,2325109.50000
custom SHA256 test,4,23074398,2307439.75000,138963072,2316051.25000
custom SHA256 test,8,22921695,2292169.50000,137112887,2285214.75000
custom SHA256 test,16,22806733,2280673.25000,137353368,2289223.00000
custom SHA256 test,32,23014740,2301474.00000,138737657,2312294.50000
custom SHA256 test,64,17484908,1748490.75000,104815411,1746923.50000
custom SHA256 test,128,14425132,1442513.25000,86860337,1447672.25000
custom SHA256 test,256,10560853,1056085.25000,63002590,1050043.25000
custom SHA256 test,512,6731786,673178.62500,40539366,675656.12500
custom SHA256 test,1024,3952515,395251.50000,23684953,394749.18750
custom SHA256 test,2048,2154991,215499.09375,12935447,215590.78125
custom SHA256 test,4096,1112639,111263.89844,6738979,112316.32031
custom SHA256 test,8192,577325,57732.50000,3479524,57992.06641
custom SHA256 test,16384,289544,28954.40039,1740473,29007.88281
custom SHA256 test,32768,145714,14571.40039,883021,14717.01660
custom SHA256 test,65536,72756,7275.60010,442698,7378.29980
custom SHA256 test,131072,36569,3656.89990,219847,3664.11670
custom SHA256 test,262144,18301,1830.09998,110167,1836.11670
custom SHA256 test,524288,9275,927.50000,55669,927.81665
custom SHA256 test,1048576,4642,464.20001,27779,462.98334
custom SHA256 test,2097152,2296,229.60001,13867,231.11667
custom SHA256 test,4194304,1154,115.40000,6919,115.31667
custom SHA256 test,8388608,578,57.80000,3456,57.60000
