custom SHA256 test,2,24268885,2426888.50000,147541257,2459021.00000
custom SHA256 test,4,24625063,2462506.50000,146814472,2446907.75000
custom SHA256 test,8,24407238,2440723.75000,148767840,2479464.00000
custom SHA256 test,16,24534679,2453468.00000,148881347,2481355.75000
custom SHA256 test,32,24614458,2461445.75000,148429471,2473824.50000
custom SHA256 test,64,18719847,1871984.75000,112591156,1876519.25000
custom SHA256 test,128,15508392,1550839.25000,93156354,1552605.87500
custom SHA256 test,256,11147189,1114718.87500,67694349,1128239.25000
custom SHA256 test,512,7196589,719658.87500,43573700,726228.31250
custom SHA256 test,1024,4231270,423127.00000,25425317,423755.28125
custom SHA256 test,2048,2311473,231147.29688,13692577,228209.60938
custom SHA256 test,4096,1209689,120968.89844,7265266,121087.76562
custom SHA256 test,8192,617943,61794.30078,3692086,61534.76562
custom SHA256 test,16384,313385,31338.50000,1880845,31347.41602
custom SHA256 test,32768,157572,15757.20020,947730,15795.50000
custom SHA256 test,65536,78718,7871.79980,472001,7866.68311
custom SHA256 test,131072,39520,3952.00000,238337,3972.28345
custom SHA256 test,262144,19767,1976.69995,119212,1986.86670
custom SHA256 test,524288,9894,989.40002,59610,993.50000
custom SHA256 test,1048576,4950,495.00000,29644,494.06668
