custom SHA256 test,2,33795545,3379554.50000,204558330,3409305.50000
custom SHA256 test,4,34294372,3429437.25000,200565081,3342751.50000
custom SHA256 test,8,34066897,3406689.50000,205129706,3418828.50000
custom SHA256 test,16,34415671,3441567.25000,205568627,3426143.75000
custom SHA256 test,32,33656570,3365656.75000,205018082,3416968.00000
custom SHA256 test,64,23233236,2323323.50000,140622872,2343714.75000
custom SHA256 test,128,18449540,1844954.00000,111133350,1852222.50000
custom SHA256 test,256,12709166,1270916.62500,76529663,1275494.37500
custom SHA256 test,512,7834674,783467.37500,47130253,785504.18750
custom SHA256 test,1024,4417329,441732.90625,26613450,443557.50000
custom SHA256 test,2048,2364281,236428.09375,14258233,237637.21875
custom SHA256 test,4096,1226077,122607.70312,7365070,122751.16406
custom SHA256 test,8192,624124,62412.39844,3748499,62474.98438
custom SHA256 test,16384,315828,31582.80078,1903698,31728.30078
custom SHA256 test,32768,158253,15825.29980,955573,15926.21680
custom SHA256 test,65536,79454,7945.39990,479430,7990.50000
custom SHA256 test,131072,39838,3983.80005,240045,4000.75000
custom SHA256 test,262144,19918,1991.80005,119610,1993.50000
custom SHA256 test,524288,9936,993.59998,59979,999.65002
custom SHA256 test,1048576,4936,493.60001,29996,499.93332
