custom SHA256 test,2,39261597,3926159.50000,235906907,3931781.75000
custom SHA256 test,4,38323501,3832350.00000,232772456,3879540.75000
custom SHA256 test,8,39230350,3923035.25000,235348409,3922473.50000
custom SHA256 test,16,39342001,3934200.00000,236844930,3947415.50000
custom SHA256 test,32,39150307,3915030.75000,235995163,3933252.75000
custom SHA256 test,64,25619087,2561908.75000,154258352,2570972.50000
custom SHA256 test,128,19685894,1968589.37500,119174771,1986246.12500
custom SHA256 test,256,13294956,1329495.62500,79965914,1332765.25000
custom SHA256 test,512,8013093,801309.31250,48558170,809302.81250
custom SHA256 test,1024,4516189,451618.90625,27099228,451653.81250
custom SHA256 test,2048,2388429,238842.90625,14306372,238439.53125
custom SHA256 test,4096,1228048,122804.79688,7387502,123125.03125
custom SHA256 test,8192,627605,62760.50000,3757987,62633.11719
custom SHA256 test,16384,315792,31579.19922,1899451,31657.51758
custom SHA256 test,32768,157916,15791.59961,952886,15881.43359
custom SHA256 test,65536,79357,7935.70020,478788,7979.79980
custom SHA256 test,131072,39614,3961.39990,238774,3979.56665
custom SHA256 test,262144,19919,1991.90002,119743,1995.71667
custom SHA256 test,524288,9946,994.59998,60018,1000.29999
custom SHA256 test,1048576,4973,497.29999,30000,500.00000
