DNA matching,102,4911336,491133.59375,29462468,491041.12500
DNA matching,204,4297200,429720.00000,25721552,428692.53125
DNA matching,408,3413997,341399.68750,20544800,342413.34375
DNA matching,816,2498504,249850.40625,14914688,248578.14062
DNA matching,1632,1616924,161692.40625,9694309,161571.81250
DNA matching,3264,959640,95964.00000,5750056,95834.26562
DNA matching,6528,519776,51977.60156,3122543,52042.38281
DNA matching,13056,273054,27305.40039,1638929,27315.48242
DNA matching,26112,139913,13991.29980,839199,13986.65039
DNA matching,52224,71635,7163.50000,429864,7164.39990
DNA matching,104448,35759,3575.89990,214064,3567.73340
