DNA matching,102,3242216,324221.59375,19466205,324436.71875
DNA matching,204,2686882,268688.18750,16151111,269185.18750
DNA matching,408,1989220,198922.00000,11924927,198748.78125
DNA matching,816,1324662,132466.20312,7956892,132614.85938
DNA matching,1632,785319,78531.89844,4704874,78414.57031
DNA matching,3264,438236,43823.60156,2628220,43803.66797
DNA matching,6528,229936,22993.59961,1380907,23015.11719
DNA matching,13056,119413,11941.29980,716640,11944.00000
DNA matching,26112,60127,6012.70020,360644,6010.73340
DNA matching,52224,30287,3028.69995,181902,3031.69995
DNA matching,104448,15313,1531.30005,91812,1530.19995
