DNA matching,102,450211,45021.10156,2707233,45120.55078
DNA matching,204,226993,22699.30078,1374669,22911.15039
DNA matching,408,119974,11997.40039,719776,11996.26660
DNA matching,816,59840,5984.00000,364954,6082.56689
DNA matching,1632,30188,3018.80005,185060,3084.33325
DNA matching,3264,15654,1565.40002,91621,1527.01672
DNA matching,6528,7595,759.50000,45321,755.34998
DNA matching,13056,3666,366.60001,22892,381.53333
DNA matching,26112,1929,192.89999,11581,193.01666
DNA matching,52224,949,94.90000,5736,95.60000
DNA matching,104448,470,47.00000,2913,48.55000
