DNA matching,128,5383329,538332.87500,32749615,545826.93750,60
DNA matching,256,4342426,434242.59375,26331648,438860.81250,60
DNA matching,512,3066645,306664.50000,18679629,311327.12500,60
DNA matching,1024,2004600,200460.00000,12268142,204469.03125,60
DNA matching,2048,1172980,117298.00000,7162923,119382.04688,60
DNA matching,4096,640895,64089.50000,3904571,65076.18359,60
DNA matching,8192,336171,33617.10156,2047739,34128.98438,60
DNA matching,16384,172400,17240.00000,1049224,17487.06641,60
DNA matching,32768,87122,8712.20020,531553,8859.21680,60
DNA matching,65536,43974,4397.39990,267647,4460.78320,60
DNA matching,131072,21983,2198.30005,134072,2234.53345,60
