DNA matching,128,397647,39764.69922,2482860,41381.00000,60
DNA matching,256,403389,40338.89844,2423421,40390.35156,60
DNA matching,512,386227,38622.69922,2319852,38664.19922,60
DNA matching,1024,343476,34347.60156,2138285,35638.08203,60
DNA matching,2048,295357,29535.69922,1848407,30806.78320,60
DNA matching,4096,242233,24223.30078,1454593,24243.21680,60
DNA matching,8192,163181,16318.09961,1019249,16987.48242,60
DNA matching,16384,106027,10602.70020,637488,10624.79980,60
DNA matching,32768,60621,6062.10010,364264,6071.06689,60
DNA matching,65536,31459,3145.89990,196255,3270.91675,60
DNA matching,131072,17003,1700.30005,102061,1701.01672,60
