AEAD AES256GCM ENCRYPT TEST,16,7237475,723747.50000,44073281,734554.68750,60
AEAD AES256GCM ENCRYPT TEST,32,7268657,726865.68750,43749248,729154.12500,60
AEAD AES256GCM ENCRYPT TEST,64,7042974,704297.37500,42842249,714037.43750,60
AEAD AES256GCM ENCRYPT TEST,128,7235656,723565.62500,44045545,734092.37500,60
AEAD AES256GCM ENCRYPT TEST,256,6893008,689300.81250,42039507,700658.43750,60
AEAD AES256GCM ENCRYPT TEST,512,6406473,640647.31250,38546635,642443.93750,60
AEAD AES256GCM ENCRYPT TEST,1024,5340133,534013.31250,32680878,544681.31250,60
AEAD AES256GCM ENCRYPT TEST,2048,4172557,417255.68750,25443761,424062.65625,60
AEAD AES256GCM ENCRYPT TEST,4096,2917703,291770.31250,17583447,293057.46875,60
AEAD AES256GCM ENCRYPT TEST,8192,1810327,181032.70312,10887802,181463.35938,60
AEAD AES256GCM ENCRYPT TEST,16384,1015826,101582.60156,6182796,103046.60156,60
AEAD AES256GCM ENCRYPT TEST,32768,543684,54368.39844,3313953,55232.55078,60
AEAD AES256GCM ENCRYPT TEST,65536,282607,28260.69922,1720139,28668.98242,60
AEAD AES256GCM ENCRYPT TEST,131072,143811,14381.09961,875897,14598.28320,60
AEAD AES256GCM ENCRYPT TEST,262144,72482,7248.20020,442923,7382.04980,60
AEAD AES256GCM ENCRYPT TEST,524288,36570,3657.00000,222581,3709.68335,60
AEAD AES256GCM ENCRYPT TEST,1048576,18249,1824.90002,111442,1857.36670,60
