rsa crypto test,1024,117,141230,14123.00000,845045,14084.08301,60
rsa crypto test,2048,245,21339,2133.89990,128308,2138.46655,60
rsa crypto test,3072,373,7315,731.50000,43834,730.56665,60
rsa crypto test,4096,501,3278,327.79999,19661,327.68332,60
rsa crypto test,5120,629,1721,172.10001,10301,171.68333,60
rsa crypto test,6144,757,1046,104.60000,6256,104.26667,60
rsa crypto test,7168,885,667,66.70000,4008,66.80000,60
rsa crypto test,8192,1013,454,45.40000,2732,45.53333,60
