DNA matching,102,1007093,100709.29688,6686490,111441.50000
DNA matching,204,694935,69493.50000,4199572,69992.86719
DNA matching,408,392614,39261.39844,2347677,39127.94922
DNA matching,816,211936,21193.59961,1265025,21083.75000
DNA matching,1632,108391,10839.09961,652100,10868.33301
DNA matching,3264,55458,5545.79980,329297,5488.28320
DNA matching,6528,28184,2818.39990,168572,2809.53345
DNA matching,13056,14159,1415.90002,84311,1405.18335
DNA matching,26112,7086,708.59998,41966,699.43335
DNA matching,52224,3584,358.39999,21390,356.50000
DNA matching,104448,1774,177.39999,10633,177.21666
