DNA matching,102,127583,12758.29980,764013,12733.54980
DNA matching,204,65726,6572.60010,390941,6515.68311
DNA matching,408,33079,3307.89990,197831,3297.18335
DNA matching,816,16525,1652.50000,98762,1646.03333
DNA matching,1632,8275,827.50000,49261,821.01666
DNA matching,3264,4101,410.10001,24186,403.10001
DNA matching,6528,2081,208.10001,12511,208.51666
DNA matching,13056,1021,102.10000,5991,99.85000
DNA matching,26112,522,52.20000,3123,52.05000
DNA matching,52224,263,26.30000,1531,25.51667
DNA matching,104448,125,12.50000,750,12.50000
